time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445000000	5.71407	1.52477	9.83465	-0.788803	0	lidar	1161.3	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	5.76698	1.53693	9.8335	-0.787859	0	radar	373.176	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	5.97082	1.58988	9.80826	-0.788305	0	lidar	1452.79	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	6.01919	1.60057	9.80109	-0.788825	0	radar	338.904	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	6.21251	1.65093	9.7777	-0.789155	0	lidar	1425.47	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	6.26266	1.66526	9.78762	-0.787256	0	radar	392.758	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	6.45714	1.71498	9.76396	-0.787744	0	lidar	1580.1	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	6.50596	1.72775	9.77815	-0.786322	0	radar	413.201	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	6.69581	1.77916	9.75734	-0.786125	0	lidar	1602.95	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	6.74691	1.79526	9.7816	-0.784078	0	radar	481.515	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	6.93797	1.84801	9.76171	-0.783634	0	lidar	1748.14	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	6.98259	1.86119	9.73715	-0.7841	0	radar	386.557	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	7.18199	1.91684	9.71716	-0.783493	0	lidar	2050.79	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	7.23036	1.9305	9.70922	-0.78339	0	radar	494.699	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	7.42756	1.98741	9.6907	-0.782378	0	lidar	2147.21	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	7.47733	2.00256	9.71097	-0.781569	0	radar	570.125	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	7.66705	2.05597	9.69298	-0.780873	0	lidar	2143.35	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	7.7157	2.07265	9.70884	-0.779842	0	radar	582.827	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	7.91041	2.13169	9.69209	-0.77823	0	lidar	2399.56	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	7.96064	2.14772	9.6736	-0.777715	0	radar	659.115	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	8.15656	2.20868	9.65723	-0.775764	0	lidar	2597.39	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	8.20469	2.22289	9.64673	-0.775412	0	radar	647.022	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	8.39988	2.28387	9.63043	-0.773418	0	lidar	2753.4	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	8.44974	2.2989	9.58639	-0.772538	0	radar	738.928	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	8.64332	2.3622	9.57039	-0.769957	0	lidar	2891.67	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	8.69278	2.37799	9.55296	-0.76909	0	radar	777.017	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	8.88195	2.44093	9.53692	-0.766326	0	lidar	2942.85	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	8.93058	2.45556	9.42076	-0.762923	0	radar	801.364	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	9.11978	2.52191	9.40372	-0.759402	0	lidar	3152.27	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	9.16711	2.53608	9.3021	-0.755446	0	radar	800.35	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	9.35279	2.60219	9.28382	-0.751721	0	lidar	3230.14	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	9.39924	2.61582	9.12332	-0.744787	0	radar	816.635	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	9.5857	2.68232	9.10311	-0.740945	0	lidar	3449.59	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	9.63283	2.69732	8.84505	-0.728407	0	radar	901.024	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	9.81839	2.7669	8.82047	-0.723658	0	lidar	3661.32	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	9.865	2.78288	8.56273	-0.709879	0	radar	938.585	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	10.0446	2.85391	8.532	-0.704161	0	lidar	3689.51	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	10.0905	2.86963	8.13681	-0.682427	0	radar	962.471	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	10.2674	2.93944	8.10205	-0.676586	0	lidar	3768.93	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	10.313	2.95564	7.78938	-0.658545	0	radar	1004.23	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	10.4938	3.02835	7.74774	-0.651961	0	lidar	4175.93	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	10.5364	3.0435	7.09346	-0.614207	0	radar	927.182	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	10.7085	3.11863	7.04102	-0.606025	0	lidar	4147.9	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	10.7525	3.13476	6.62024	-0.580804	0	radar	1037.76	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	10.9194	3.20944	6.56619	-0.572317	0	lidar	4150.3	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	10.9609	3.22532	6.25124	-0.552936	0	radar	979.427	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	11.1242	3.29925	6.19921	-0.544514	0	lidar	4195.97	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	11.1667	3.31548	5.77381	-0.518364	0	radar	1077.87	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	11.3356	3.39375	5.72041	-0.509323	0	lidar	4766.59	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	11.3777	3.41069	5.35023	-0.486043	0	radar	1127.79	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	11.5433	3.49132	5.29644	-0.476337	0	lidar	4965.74	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	11.584	3.50802	4.93835	-0.453539	0	radar	1111.34	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	11.7437	3.58948	4.88619	-0.443439	0	lidar	5003.6	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	11.7843	3.60706	4.79241	-0.436523	0	radar	1199.72	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	11.9389	3.69035	4.74133	-0.425851	0	lidar	5131.94	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	11.978	3.70699	4.49146	-0.409361	0	radar	1146.47	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	12.1307	3.79257	4.4414	-0.398211	0	lidar	5417	20.371	11.0109	20.1663	10.864	0.722256	4.7934
